Wall time,Step,Value
1716044196.4009206,43,0.36430129408836365
1716044505.6309745,168,0.2815189063549042
1716044656.4072242,230,0.2775292694568634
1716045260.5747714,475,0.2452024519443512
1716045415.3464339,537,0.26307177543640137
1716045538.7531378,587,0.2076617330312729
1716045690.1934943,648,0.2138383388519287
1716046594.2131011,1015,0.19809915125370026
1716047383.321331,1334,0.23906557261943817
1716047514.7875469,1386,0.24137376248836517
1716047643.4939628,1437,0.2165127694606781
1716048396.2268798,1738,0.21922552585601807
1716048741.020048,1878,0.19987909495830536
1716049807.7474387,2308,0.17427153885364532
1716050552.1800888,2390,0.20490965247154236
1716050795.260715,2487,0.18760575354099274
1716051291.4304378,2686,0.19131791591644287
1716052694.7974389,3247,0.22206029295921326
1716052843.5566313,3306,0.18705280125141144
1716055348.6925666,4318,0.18707609176635742
1716055554.0751128,4401,0.17611049115657806
1716055781.6844137,4493,0.17459706962108612
1716055824.270591,4510,0.2351161241531372
1716057510.8319542,4972,0.1754789501428604
1716057920.914265,5135,0.18050342798233032
1716058446.7974262,5346,0.16479270160198212
1716059382.1270633,5724,0.19003461301326752
1716059839.1376443,5908,0.15669949352741241
1716060043.7986434,5991,0.1717364639043808
1716060568.1954007,6201,0.1997244954109192
1716061806.4087486,6700,0.14221985638141632
1716061837.1641762,6712,0.1583791971206665
1716062193.2063258,6855,0.18463361263275146
1716062474.4301455,6967,0.2023514360189438
1716063478.7720299,7156,0.1629258394241333
1716064239.9304252,7464,0.16793611645698547
1716065074.0992336,7799,0.15660709142684937
1716065162.1012654,7834,0.19481883943080902
1716065742.5685904,8067,0.16067025065422058
1716066025.371994,8181,0.16780072450637817
1716066128.9760754,8222,0.15363860130310059
1716066827.3385777,8499,0.1511741280555725
1716067770.3466506,8879,0.18575647473335266
1716067911.597615,8936,0.1691085696220398
1716068716.2758644,9261,0.15798687934875488
1716069764.4770837,9469,0.13837791979312897
1716069979.2610636,9555,0.17019659280776978
1716070332.8290396,9699,0.17736808955669403
1716072082.804055,10400,0.1533387303352356
1716072279.260982,10480,0.16180801391601562
1716072383.5348818,10523,0.1640925407409668
1716073338.3686247,10906,0.13515084981918335
1716073486.7351549,10967,0.18041589856147766
1716073623.958915,11021,0.14727987349033356
1716074900.4615197,11533,0.1597464680671692
1716074983.5688598,11567,0.1639537215232849
1716076522.7680542,11970,0.14884229004383087
1716076535.819375,11975,0.15131932497024536
1716077006.424767,12165,0.15108458697795868
1716077320.0770662,12291,0.1507999449968338
1716078786.4245856,12878,0.1274910420179367
1716079178.9329789,13035,0.18922796845436096
1716079246.8958817,13062,0.17444944381713867
1716082851.1261163,14295,0.17186258733272552
1716083780.1434155,14669,0.13031966984272003
1716084053.814029,14780,0.13670048117637634
1716084282.551118,14874,0.14535652101039886
1716085788.9707146,15474,0.13808396458625793
1716086513.9361854,15765,0.13969092071056366
1716087382.5128179,16117,0.133928582072258
1716089759.7341306,16858,0.15713319182395935
1716090281.6460638,17067,0.14050613343715668
1716090355.063288,17098,0.15009333193302155
1716090909.8737376,17318,0.17224068939685822
1716091475.273672,17544,0.13741424679756165
1716096965.5242755,19532,0.13025029003620148
1716097234.4098537,19641,0.13423721492290497
1716097462.0438492,19732,0.12852902710437775
1716098119.287887,19996,0.16970936954021454
1716098263.700066,20054,0.1393640786409378
1716098285.329968,20063,0.15187765657901764
1716098737.662243,20245,0.14152029156684875
1716098939.066735,20324,0.14850324392318726
1716099476.117826,20540,0.1322927623987198
1716099573.9531488,20579,0.13811740279197693
1716100080.1994839,20780,0.14474034309387207
1716100087.5789454,20783,0.13309592008590698
1716100268.898075,20856,0.1683121919631958
1716100835.867888,21081,0.12693199515342712
1716101532.1105337,21145,0.13389240205287933
1716101969.3529587,21320,0.15591943264007568
1716103291.8101003,21849,0.13968384265899658
1716104286.0307753,22246,0.13631418347358704
1716104497.3213468,22331,0.13883313536643982
1716104567.0502892,22359,0.14759552478790283
1716106505.1408255,23139,0.13004565238952637
1716106877.7558973,23287,0.1318131536245346
1716107068.3806508,23362,0.14154395461082458
1716107235.1825402,23428,0.14100854098796844
1716108377.578703,23671,0.13547050952911377
1716108453.730626,23702,0.14207470417022705
1716109572.650736,24148,0.13784542679786682
1716109915.288913,24283,0.1371009349822998
1716109921.1873055,24285,0.1535210758447647
1716110015.926378,24323,0.15419960021972656
1716110767.0865655,24622,0.15468379855155945
1716111031.0407522,24728,0.14199911057949066
1716111545.4204602,24935,0.1359476000070572
1716112345.2202654,25254,0.15469714999198914
1716112690.0424306,25392,0.1315365880727768
1716114271.4925988,25813,0.13514505326747894
1716114356.9848425,25848,0.1507347971200943
1716114544.7305365,25922,0.1209031268954277
1716116732.5987427,26798,0.1397557556629181
